"Output","minRadius","maxRadius"
"Yes",0.966,0.954
"No",0.927,0.946
"No",0.933,0.904
"Yes",0.982,0.921
"No",0.959,0.979
"No",0.925,0.99
"Yes",0.981,0.921
"No",0.942,0.993
"No",0.943,0.944
"No",0.918,0.994
"Yes",0.993,1
"No",0.921,0.996
"No",0.943,0.994
"No",0.926,0.965
"Yes",0.995,0.932
"No",0.909,0.97
"Yes",0.971,0.932
"No",0.927,0.91
"Yes",0.971,0.919
"No",0.922,0.973
"Yes",0.989,0.904
"No",0.922,0.904
"No",0.955,0.993
"Yes",0.966,0.92
"Yes",0.99,0.937
"No",0.939,0.943
"No",0.956,0.978
"No",0.957,0.905
"Yes",0.988,0.908
"No",0.905,0.923
"No",0.918,0.924
"No",0.946,0.935
"Yes",0.962,0.932
"No",0.955,0.962
"No",0.955,0.978
"No",0.96,0.962
"No",0.907,0.91
"Yes",0.993,0.965
"No",0.901,1.001
"No",0.908,0.998
"No",0.956,0.979
"No",0.903,0.972
"Yes",0.967,0.981
"Yes",0.971,0.954
"No",0.951,0.972
"No",0.93,0.992
"No",0.959,0.978
"No",0.948,0.906
"No",0.959,0.906
"No",0.945,0.932
"No",0.919,1.001
"No",0.912,0.921
"Yes",0.987,0.956
"No",0.956,0.901
"Yes",0.991,0.98
"No",0.92,0.946
"No",0.909,0.952
"No",0.945,0.975
"No",0.958,0.937
"No",0.919,0.996
"No",0.901,0.915
"No",0.923,0.983
"No",0.936,0.902
"No",0.938,0.967
"Yes",0.987,0.973
"No",0.959,0.999
"No",0.927,0.972
"No",0.91,0.903
"No",0.958,0.917
"No",0.905,0.962
"No",0.942,0.977
"No",0.949,0.977
"No",0.913,0.926
"Yes",0.988,0.925
"No",0.933,0.995
"Yes",0.967,0.933
"No",0.907,0.992
"No",0.928,0.919
"No",0.905,0.975
"Yes",0.995,0.998
"No",0.958,0.973
"Yes",0.999,0.948
"Yes",0.982,0.952
"No",0.908,0.952
"No",0.938,0.98
"No",0.938,0.926
"No",0.948,0.912
"No",0.936,0.907
"No",0.952,0.964
"Yes",0.962,0.913
"No",0.958,0.914
"Yes",0.989,0.991
"Yes",0.972,0.922
"Yes",0.993,0.953
"No",0.929,0.929
"No",0.942,0.977
"No",0.923,0.985
"Yes",0.971,0.905
"No",0.927,0.946
"No",0.95,0.975
"Yes",0.965,0.974
"No",0.902,0.989
"Yes",0.984,0.953
"Yes",0.97,0.956
"No",0.902,0.902
"No",0.932,0.98
"Yes",0.99,0.902
"No",0.955,1.001
"No",0.911,0.931
"No",0.957,0.922
"No",0.932,0.943
"No",0.951,0.951
"Yes",0.991,0.922
"Yes",0.98,0.919
"No",0.913,0.971
"Yes",0.97,0.961
"No",0.911,0.986
"No",0.948,0.908
"No",0.918,0.97
"Yes",0.996,0.909
"Yes",0.97,0.918
"Yes",0.969,0.926
"Yes",0.968,0.963
"No",0.941,0.932
"No",0.921,0.931
"No",0.947,0.991
"No",0.902,0.958
"No",0.943,0.972
"No",0.935,0.951
"No",0.905,0.995
"No",0.908,0.917
"No",0.941,0.951
"Yes",0.964,0.99
"No",0.923,0.999
"No",0.918,0.927
"No",0.924,0.959
"No",0.948,0.934
"Yes",0.962,0.939
"Yes",0.987,0.936
"No",0.917,0.991
"Yes",0.983,0.99
"No",0.954,0.979
"No",0.917,0.938
"No",0.943,0.963
"Yes",0.985,0.911
"No",0.942,0.958
"No",0.912,0.921
"Yes",0.994,0.959
"No",0.934,1
"Yes",0.98,0.905
"No",0.932,0.96
"No",0.94,1
"Yes",1,0.96
"No",0.902,0.904
"No",0.903,0.909
"No",0.941,0.906
"Yes",0.986,0.902
"No",0.943,0.907
"No",0.921,0.957
"Yes",0.961,0.981
"Yes",0.981,0.918
"No",0.933,0.996
"No",0.909,1.001
"No",0.914,0.933
"No",0.937,0.961
"No",0.942,0.953
"No",0.953,0.937
"No",0.922,0.919
"No",0.91,0.942
"No",0.941,0.957
"No",0.945,0.974
"No",0.935,0.975
"Yes",0.98,0.973
"Yes",0.981,0.935
"No",0.929,0.932
"Yes",0.987,0.972
"Yes",0.982,0.994
"No",0.919,0.997
"No",0.936,0.941
"No",0.913,1
"No",0.929,0.971
"No",0.952,0.966
"Yes",0.981,0.939
"Yes",0.975,0.989
"No",0.913,0.939
"No",0.902,0.946
"No",0.957,0.956
"No",0.908,0.927
"Yes",0.996,0.93
"No",0.905,0.978
"Yes",0.966,0.941
"No",0.953,0.957
"No",0.935,0.965
"No",0.91,0.974
"No",0.911,0.925
"No",0.928,0.948
"No",0.938,0.967
"Yes",0.969,0.953
"Yes",0.998,0.979
"No",0.928,0.997
"No",0.907,0.959
"No",0.934,0.989
"Yes",0.967,0.981
"Yes",0.979,0.992
"No",0.941,0.98
"Yes",0.994,0.996
"No",0.948,0.985
"No",0.913,0.995
"No",0.921,0.903
"No",0.914,0.983
"No",0.929,0.967
"No",0.941,0.927
"No",0.948,0.938
"No",0.946,0.992
"Yes",0.997,0.964
"Yes",0.998,0.973
"Yes",0.982,0.964
"Yes",0.996,0.986
"No",0.909,0.941
"No",0.91,0.921
"No",0.937,0.95
"Yes",0.985,0.969
"No",0.901,0.923
"No",0.905,0.957
"Yes",0.994,0.976
"Yes",0.986,0.973
"No",0.926,0.977
"Yes",0.979,0.972
"Yes",0.988,0.978
"No",0.931,0.984
"No",0.948,0.933
"Yes",0.961,0.994
"No",0.9,0.956
"Yes",0.98,0.927
"No",0.915,0.965
"No",0.941,0.929
"No",0.939,0.967
"No",0.938,0.931
"Yes",0.966,0.923
"Yes",0.968,0.942
"No",0.938,0.971
"No",0.934,0.957
"Yes",0.982,0.971
"No",0.954,0.996
"No",0.92,0.975
"No",0.949,0.911
"Yes",0.968,0.987
"No",0.902,0.965
"No",0.956,0.971
"No",0.904,0.904
"Yes",0.967,1
"No",0.908,0.903
"No",0.938,0.912
"Yes",0.965,0.971
"No",0.943,0.979
"No",0.901,0.999
"No",0.922,0.947
"No",0.919,0.913
"No",0.913,0.959
"No",0.926,0.924
"No",0.925,0.947
"Yes",0.987,0.901
"No",0.942,0.907
"Yes",0.968,0.929
"No",0.947,0.975
"Yes",0.995,0.953
"Yes",0.984,0.968
"No",0.945,0.902
"No",0.925,0.9
"Yes",0.977,0.987
"Yes",1,0.994
"No",0.924,0.995
"Yes",0.998,1.001
"No",0.953,0.955
"No",0.943,0.952
"No",0.927,0.931
"No",0.918,0.983
"No",0.903,0.922
"No",0.951,0.923
"No",0.936,0.952
"No",0.93,0.971
"Yes",0.992,0.918
"No",0.952,0.945
"No",0.944,0.936
"No",0.957,0.969
"No",0.924,0.918
"No",0.951,0.947
"No",0.924,0.958
"Yes",0.986,0.986
"No",0.913,0.956
"Yes",0.992,0.939
"No",0.907,0.926
"Yes",0.977,0.985
"No",0.905,0.928
"No",0.957,0.977
"Yes",0.984,0.951
"Yes",0.98,0.951
"Yes",0.99,0.949
"Yes",0.97,0.93
"Yes",0.991,1
"No",0.911,0.996
"No",0.957,0.982
"No",0.904,0.925
"Yes",0.985,0.988
"Yes",0.967,0.921
"No",0.914,0.923
"No",0.921,0.925
"No",0.948,0.996
"No",0.93,0.972
"No",0.931,0.988
"No",0.933,0.91
"Yes",0.965,0.929
"Yes",0.999,0.912
"Yes",0.967,0.92
"No",0.929,0.95
"No",0.917,0.912
"No",0.916,0.983
"No",0.913,0.92
"No",0.907,0.929
"No",0.947,0.978
"Yes",0.969,0.932
"Yes",0.982,0.924
"No",0.941,0.992
"No",0.96,0.937
"No",0.921,0.964
"Yes",0.964,0.957
"No",0.945,0.945
"No",0.925,0.982
"No",0.915,0.981
"No",0.913,0.981
"No",0.925,0.946
"Yes",0.989,0.944
"No",0.944,0.956
"No",0.918,0.91
"No",0.909,0.973
"Yes",0.986,0.915
"No",0.936,0.98
"No",0.951,0.939
"No",0.938,0.945
"Yes",0.97,0.987
"No",0.934,0.989
"No",0.94,0.989
"No",0.914,0.97
"Yes",0.975,0.932
"Yes",0.994,0.965
"No",0.913,0.926
"No",0.936,0.926
"No",0.901,0.996
"No",0.948,0.979
"No",0.928,0.902
"No",0.955,0.976
"No",0.918,0.913
"Yes",0.973,0.923
"No",0.913,0.967
"Yes",0.961,0.965
"Yes",0.972,0.994
"Yes",0.997,0.979
"Yes",1,0.935
"No",0.931,0.964
"Yes",0.97,0.974
"Yes",0.973,0.94
"No",0.901,0.914
"Yes",0.972,0.926
"Yes",0.969,0.997
"No",0.925,0.926
"No",0.923,0.918
"Yes",0.998,0.925
"No",0.902,0.991
"Yes",0.97,0.939
"No",0.929,0.999
"No",0.913,0.926
"No",0.931,0.901
"Yes",0.991,0.911
"No",0.916,0.974
"Yes",0.993,0.933
"No",0.926,0.982
"No",0.942,0.92
"No",0.919,0.973
"No",0.905,0.979
"No",0.921,0.909
"No",0.935,0.966
"No",0.907,0.981
"Yes",0.995,0.918
"Yes",0.992,0.946
"Yes",0.976,0.976
"No",0.955,0.955
"Yes",0.984,0.915
"No",0.912,0.935
"Yes",0.963,0.992
"No",0.936,0.951
"No",0.901,0.921
"Yes",1.001,0.968
"No",0.904,0.911
"No",0.932,0.915
"No",0.911,0.9
"No",0.925,0.904
"Yes",0.995,0.979
"No",0.958,0.965
"Yes",0.99,0.904
"Yes",0.976,0.906
"No",0.915,0.931
"Yes",0.98,0.994
"No",0.937,0.976
"No",0.908,0.975
"Yes",0.97,0.938
"No",0.9,1
"No",0.908,0.966
"Yes",0.967,0.953
"No",0.952,0.923
"Yes",0.988,0.929
"No",0.929,0.983
"No",0.909,0.991
"Yes",0.987,0.906
"Yes",0.966,0.976
"No",0.907,0.902
"No",0.934,0.919
"No",0.93,0.969
"No",0.94,0.904
"No",0.95,0.993
"Yes",0.982,0.937
"Yes",0.988,0.997
"No",0.923,0.964
"No",0.953,0.926
"Yes",0.992,0.915
"No",0.921,0.975
"Yes",1.001,0.931
"No",0.902,0.923
"Yes",0.991,0.994
"No",0.923,0.995
"No",0.94,0.984
"Yes",0.986,0.994
"Yes",0.982,0.975
"Yes",0.997,0.97
"No",0.94,0.935
"Yes",0.992,0.951
"Yes",0.979,0.97
"Yes",0.994,0.949
"Yes",0.973,0.922
"Yes",0.967,0.984
"No",0.938,0.981
"No",0.928,0.923
"Yes",0.988,0.93
"No",0.923,0.997
"Yes",0.966,0.924
"Yes",0.987,0.907
"Yes",0.967,0.935
"Yes",0.997,0.955
"Yes",0.976,0.941
"No",0.941,0.956
"No",0.954,0.963
"Yes",0.978,0.971
"No",0.906,0.935
"Yes",0.995,0.924
"No",0.908,0.907
"No",0.942,0.915
"Yes",0.997,0.933
"No",0.96,0.971
"No",0.933,0.919
"Yes",0.993,0.901
"Yes",0.996,0.926
"No",0.928,0.929
"Yes",0.964,1.001
"No",0.906,0.956
"Yes",0.961,0.921
"Yes",0.976,0.934
"No",0.952,0.99
"Yes",0.985,0.953
"No",0.95,0.935
"No",0.904,1
"Yes",0.968,0.91
"Yes",0.965,0.92
"Yes",0.997,0.981
"No",0.96,0.924
"No",0.911,0.914
"Yes",0.963,0.993
"Yes",0.987,0.968
"Yes",1.001,0.975
"No",0.957,0.91
"No",0.927,0.96
"No",0.956,0.924
"No",0.914,0.93
"No",0.945,0.909
"Yes",0.985,0.97
"Yes",0.98,0.918
"Yes",0.999,1
"Yes",0.998,0.96
"Yes",0.995,1
"No",0.942,0.909
"No",0.933,0.921
"No",0.935,0.903
"No",0.94,0.942
"No",0.953,0.99
"No",0.956,0.921
"Yes",0.976,0.902
"No",0.909,0.999
"Yes",0.99,0.908
"No",0.924,0.905
"Yes",0.979,0.974
"No",0.913,0.908
"No",0.957,0.993
"No",0.946,0.927
"No",0.938,0.902
"No",0.939,0.914
"Yes",0.968,0.978
"Yes",0.982,0.933
"No",0.939,0.956
"No",0.927,0.996
"Yes",0.978,0.954
"No",0.957,0.937
"No",0.91,0.925
"Yes",0.963,0.909
"No",0.902,0.932
"No",0.932,0.961
"Yes",0.987,0.961
"Yes",0.998,0.931
"Yes",0.989,0.911
"Yes",0.995,0.904
"No",0.91,0.991
"Yes",0.964,0.91
"No",0.946,0.955
"No",0.913,0.909
"Yes",0.966,0.953
"No",0.96,0.901
"No",0.914,0.938
"Yes",0.995,0.913
"No",0.911,0.943
"No",0.929,0.944
"No",0.925,0.951
"Yes",0.967,0.937
"No",0.952,0.985
"Yes",0.981,0.988
"No",0.951,0.949
"No",0.943,0.94
"No",0.935,0.944
"No",0.944,0.909
"Yes",0.962,0.925
"Yes",0.969,0.92
"Yes",0.967,0.91
"Yes",0.989,0.961
"No",0.949,0.918
"No",0.908,0.932
"Yes",0.971,0.964
"Yes",0.991,0.993
"Yes",0.977,0.92
"Yes",0.967,0.93
"Yes",0.977,0.931
"Yes",0.984,0.91
"No",0.906,0.982
"No",0.958,0.956
"Yes",0.981,0.955
"Yes",0.975,0.997
"Yes",0.981,0.923
"No",0.926,0.966
"No",0.91,1
"No",0.923,0.98
"No",0.913,0.933
"Yes",0.968,0.974
"No",0.909,0.924
"Yes",0.986,0.907
"No",0.953,0.952
"Yes",1,0.973
"No",0.924,0.925
"Yes",0.999,0.906
"No",0.916,0.932
"No",0.927,0.956
"No",0.956,0.968
"No",0.91,0.901
"Yes",0.973,1
"No",0.9,0.955
"Yes",0.969,0.949
"No",0.94,0.926
"Yes",0.965,0.987
"No",0.944,0.999
"No",0.905,0.953
"Yes",1.001,0.923
"No",0.935,0.966
"No",0.919,0.901
"Yes",0.976,0.934
"No",0.948,0.946
"No",0.941,0.901
"No",0.913,0.999
"No",0.902,0.905
"No",0.91,0.92
"Yes",0.983,0.993
"No",0.918,0.973
"No",0.952,0.951
"Yes",0.973,0.938
"Yes",0.979,0.972
"No",0.927,0.927
"Yes",0.97,0.986
"Yes",0.991,0.987
"Yes",0.997,0.938
"Yes",0.98,0.994
"Yes",0.975,0.923
"No",0.913,0.948
"No",0.958,0.908
"Yes",0.989,0.927
"No",0.936,0.929
"Yes",0.975,0.932
"No",0.919,0.954
"Yes",0.972,0.949
"No",0.936,0.975
"Yes",0.968,0.941
"No",0.904,0.998
"No",0.908,0.991
"No",0.94,0.922
"No",0.936,0.989
"No",0.947,0.957
"No",0.937,0.988
"No",0.91,0.985
"Yes",0.998,0.974
"No",0.932,0.972
"No",0.952,0.975
"No",0.907,0.983
"Yes",0.995,0.972
"Yes",0.969,0.967
"No",0.903,0.987
"Yes",0.991,0.904
"Yes",0.994,0.913
"Yes",0.992,0.957
"Yes",0.984,0.946
"Yes",0.965,0.958
"No",0.923,0.923
"Yes",0.998,0.908
"No",0.959,0.908
"Yes",0.998,0.986
"No",0.944,0.968
"Yes",0.963,0.922
"Yes",0.967,0.954
"Yes",0.977,0.933
"Yes",0.964,0.916
"No",0.945,0.993
"Yes",0.976,1
"No",0.913,0.997
"No",0.916,0.984
"Yes",0.977,0.976
"Yes",0.997,0.955
"Yes",0.994,0.914
"Yes",0.998,0.931
"Yes",0.991,0.979
"No",0.943,0.927
"Yes",0.974,0.941
"Yes",0.982,0.998
"No",0.921,0.926
"No",0.912,0.914
"Yes",0.985,0.947
"Yes",0.961,0.986
"No",0.942,0.928
"No",0.959,0.921
"Yes",0.968,0.963
"No",0.941,0.967
"Yes",0.981,0.991
"No",0.933,0.957
"Yes",0.981,1
"Yes",0.961,0.918
"No",0.959,0.909
"No",0.951,0.969
"Yes",0.974,0.985
"Yes",0.974,0.998
"No",0.953,0.912
"No",0.921,0.971
"No",0.923,0.981
"Yes",0.988,0.931
"Yes",0.97,0.965
"No",0.927,0.94
"No",0.933,0.944
"No",0.926,0.973
"Yes",0.977,0.946
"No",0.943,0.968
"Yes",0.988,0.986
"Yes",0.998,0.95
"No",0.922,0.911
"No",0.944,0.909
"No",0.951,0.949
"Yes",0.962,0.948
"No",0.916,0.913
"No",0.955,0.923
"No",0.958,0.954
"Yes",0.974,0.973
"Yes",0.988,0.991
"No",0.911,0.949
"Yes",0.978,0.957
"Yes",0.966,0.988
"Yes",0.968,0.992
"Yes",0.987,0.995
"No",0.918,0.998
"No",0.956,0.948
"Yes",0.989,0.932
"Yes",0.975,0.936
"No",0.956,0.908
"No",0.943,0.912
"Yes",0.966,0.946
"No",0.927,0.915
"No",0.924,0.959
"Yes",0.989,0.99
"Yes",0.998,0.944
"No",0.908,0.924
"No",0.9,0.938
"Yes",0.982,0.943
"No",0.925,0.925
"No",0.954,0.901
"No",0.932,0.917
"No",0.939,0.917
"Yes",0.977,0.918
"No",0.929,0.923
"Yes",0.984,0.92
"No",0.906,0.98
"No",0.932,0.988
"No",0.93,0.939
"Yes",0.995,0.916
"No",0.926,0.929
"No",0.935,0.925
"Yes",0.961,0.98
"Yes",0.966,0.989
"No",0.951,0.966
"No",0.909,0.962
"No",0.948,0.943
"No",0.947,0.927
"No",0.951,0.961
"Yes",0.999,0.954
"No",0.907,0.941
"Yes",0.969,0.913
"Yes",0.963,0.939
"No",0.927,0.921
"No",0.949,0.981
"No",0.93,0.902
"Yes",0.991,0.987
"Yes",0.999,0.925
"No",0.937,1
"Yes",0.977,0.976
"No",0.941,0.933
"No",0.905,0.933
"Yes",0.991,0.97
"Yes",0.989,0.986
"Yes",0.985,0.931
"No",0.921,0.924
"No",0.928,0.911
"No",0.96,0.95
"Yes",0.989,1
"No",0.917,0.969
"No",0.926,0.911
"Yes",0.962,0.932
"No",0.902,0.937
"No",0.927,0.915
"No",0.951,0.985
"No",0.911,0.914
"Yes",0.981,0.986
"No",0.939,0.909
"Yes",0.973,0.996
"No",0.921,0.975
"Yes",0.994,0.912
"No",0.913,0.943
"Yes",0.973,0.913
"No",0.919,0.915
"No",0.906,0.906
"No",0.951,0.955
"Yes",0.965,0.944
"No",0.905,0.953
"No",0.943,0.962
"No",0.954,0.994
"Yes",0.996,0.96
"No",0.936,0.987
"No",0.923,0.949
"Yes",0.981,0.959
"Yes",0.978,0.954
"Yes",0.982,0.946
"No",0.92,0.949
"Yes",0.974,0.912
"No",0.931,0.954
"Yes",0.995,0.984
"Yes",0.984,0.945
"No",0.957,0.901
"No",0.916,0.94
"No",0.942,0.999
"No",0.936,0.934
"No",0.91,0.96
"No",0.909,0.939
"No",0.96,0.929
"No",0.906,0.97
"Yes",0.965,0.913
"Yes",0.981,0.964
"No",0.938,0.975
"No",0.908,0.99
"Yes",0.966,0.945
"No",0.915,0.998
"No",0.914,0.974
"No",0.954,0.958
"No",0.94,0.972
"No",0.936,0.903
"Yes",0.997,0.906
"No",0.944,0.999
"Yes",0.969,0.914
"Yes",0.965,0.958
"No",0.941,0.949
"Yes",0.996,0.956
"Yes",1.001,0.96
"Yes",0.972,0.972
"Yes",0.977,0.995
"Yes",0.983,0.923
"No",0.95,0.968
"Yes",0.968,0.945
"Yes",0.991,0.973
"No",0.919,0.933
"Yes",0.993,0.938
"No",0.932,0.944
"Yes",0.966,0.981
"No",0.951,0.917
"No",0.918,0.905
"No",0.95,0.975
"Yes",0.984,0.987
"No",0.959,0.993
"No",0.903,0.944
"Yes",0.979,0.95
"Yes",0.981,0.987
"No",0.952,0.914
"Yes",0.97,0.984
"No",0.903,0.989
"No",0.901,0.957
"No",0.912,0.99
"Yes",0.966,0.977
"No",0.947,0.934
"Yes",0.992,0.971
"No",0.957,0.988
"No",0.941,0.912
"No",0.925,0.964
"Yes",0.976,0.944
"No",0.906,0.945
"No",0.955,0.964
"No",0.937,0.975
"No",0.932,0.944
"No",0.95,0.94
"Yes",0.971,0.974
"Yes",0.996,0.924
"Yes",1,0.913
"No",0.913,0.988
"No",0.957,0.969
"No",0.939,0.985
"No",0.94,0.96
"No",0.904,0.92
"Yes",0.976,0.918
"No",0.926,0.914
"Yes",0.988,0.987
"Yes",0.967,0.979
"No",0.902,0.945
"Yes",0.962,0.975
"Yes",1,0.947
"No",0.914,0.948
"No",0.937,0.991
"Yes",0.99,0.948
"No",0.954,0.942
"Yes",1,0.902
"No",0.958,0.998
"Yes",0.978,0.971
"Yes",0.996,0.997
"Yes",0.981,0.943
"Yes",0.997,0.939
"Yes",0.963,0.946
"Yes",0.964,0.917
"No",0.949,0.912
"Yes",0.962,0.946
"No",0.919,0.941
"No",0.944,0.953
"No",0.954,0.903
"Yes",0.983,0.943
"No",0.909,0.954
"No",0.951,0.913
"Yes",0.98,0.971
"Yes",0.996,0.932
"No",0.928,0.922
"Yes",0.972,0.925
"No",0.933,0.941
"No",0.924,0.955
"No",0.925,0.94
"Yes",0.961,0.909
"No",0.904,0.907
"No",0.932,0.928
"No",0.937,0.979
"No",0.91,0.981
"No",0.954,0.977
"No",0.959,0.973
"Yes",0.964,0.91
"Yes",0.995,0.917
"No",0.941,0.932
"No",0.93,0.906
"Yes",0.998,0.913
"Yes",0.991,0.953
"Yes",0.976,0.956
"Yes",0.981,0.96
"No",0.959,0.911
"Yes",0.999,0.942
"No",0.912,0.956
"Yes",0.969,0.909
"Yes",0.986,0.991
"No",0.915,0.906
"Yes",0.994,0.948
"No",0.949,0.924
"Yes",0.977,0.964
"No",0.937,0.986
"Yes",0.987,0.973
"No",0.925,0.972
"Yes",0.977,0.923
"No",0.957,0.903
"Yes",0.994,0.981
"No",0.917,0.977
"Yes",0.989,0.933
"No",0.921,0.95
"No",0.909,0.912
"No",0.91,0.995
"Yes",0.978,0.969
"No",0.956,0.916
"No",0.96,0.995
"No",0.929,0.964
"Yes",0.996,0.96
"No",0.954,0.918
"No",0.946,0.985
"No",0.943,0.924
"Yes",0.989,0.953
"Yes",0.965,0.949
"No",0.937,0.936
"No",0.934,0.927
"No",0.905,0.967
"Yes",0.961,0.947
"No",0.906,0.937
"No",0.954,0.951
"Yes",0.964,0.902
"No",0.95,0.996
"No",0.951,0.91
"No",0.954,0.9
"Yes",0.981,0.928
"Yes",0.983,0.906
"No",0.903,0.949
"No",0.916,0.944
"No",0.96,0.97
"No",0.924,0.901
"No",0.913,0.945
"No",0.937,0.941
"No",0.947,0.946
"No",0.916,0.936
"Yes",0.988,0.93
"No",0.937,0.992
"No",0.938,0.957
"No",0.911,0.93
"No",0.904,0.955
"No",0.925,0.948
"No",0.934,0.942
"No",0.95,0.998
"No",0.92,0.942
"Yes",0.972,0.904
"Yes",0.993,0.927
"Yes",0.998,0.903
"Yes",0.967,0.984
"Yes",0.973,0.941
"Yes",0.983,0.941
"Yes",0.968,0.996
"No",0.953,0.906
"Yes",0.991,0.958
"No",0.914,0.948
"No",0.945,0.949
"No",0.941,0.929
"No",0.939,0.978
"No",0.933,0.94
"Yes",0.972,0.91
"No",0.946,0.996
"Yes",0.978,0.92
"No",0.958,0.98
"Yes",0.98,0.948
"No",0.951,0.912
"Yes",1.001,0.944
"No",0.946,0.995
"Yes",0.986,0.982
"Yes",0.973,0.974
"No",0.939,0.939
"Yes",0.973,0.917
"Yes",0.965,0.936
"No",0.934,0.994
"No",0.948,0.904
"No",0.914,0.9
"No",0.942,0.999
"Yes",0.974,0.917
"Yes",0.985,0.962
"No",0.938,0.975
"No",0.93,0.967
"No",0.921,0.921
"Yes",0.963,0.959
"No",0.948,0.909
"No",0.944,0.98
"No",0.923,0.987
"No",0.934,0.96
"Yes",0.97,0.913
"No",0.952,0.983
"No",0.936,0.965
"No",0.937,0.971
"No",0.923,0.971
"Yes",0.967,0.949
"Yes",0.987,0.91
"Yes",0.979,0.925
"Yes",0.993,0.995
"No",0.909,0.977
"No",0.947,0.971
"Yes",0.971,0.959
"No",0.932,0.962
"No",0.939,0.925
"No",0.935,0.954
"Yes",0.994,0.978
"No",0.951,0.983
"Yes",0.99,0.906
"No",0.957,0.977
"Yes",0.976,0.995
"No",0.954,0.995
"No",0.938,0.985
"Yes",0.974,0.923
"No",0.932,0.959
"Yes",0.992,0.995
"No",0.93,0.97
"Yes",0.976,0.971
"Yes",0.999,0.998
"No",0.908,0.912
"No",0.948,0.93
"Yes",0.988,0.909
"No",0.922,0.992
"No",0.912,0.956
"Yes",0.987,0.999
"No",0.928,0.979
"No",0.941,0.925
"No",0.9,0.917
"Yes",0.963,0.962
"Yes",0.976,0.965
"No",0.911,0.973
"No",0.921,0.929
"Yes",0.98,0.991
"Yes",0.99,0.983
"No",0.93,0.961
"Yes",0.993,0.996
"No",0.913,0.932
"No",0.959,0.908
"Yes",0.985,0.908
"No",0.916,0.901
"No",0.931,0.957
"No",0.957,0.906
"No",0.925,0.931
"No",0.906,0.955
"No",0.946,0.976
"Yes",0.975,0.917
"No",0.916,0.989
"Yes",0.962,0.904
"No",0.955,0.953
"No",0.911,0.9
"No",0.941,0.916
"Yes",0.994,0.966
"Yes",0.987,0.903
"Yes",0.961,0.991
"Yes",0.999,0.994
"Yes",0.969,0.982
"No",0.9,0.927
"Yes",0.975,0.922
"Yes",0.996,0.927
"No",0.954,0.915
"Yes",0.966,0.95
"No",0.934,0.919
"No",0.93,0.989
"Yes",0.971,0.989
"No",0.942,0.98
"Yes",0.988,0.983
"No",0.9,0.998
"No",0.942,0.947
"No",0.927,0.97
"No",0.917,0.958
"No",0.953,0.977
"Yes",0.971,0.924
"Yes",0.971,0.967
"No",0.932,0.937
"Yes",0.982,0.971
"Yes",0.994,0.958
"No",0.914,0.994
"Yes",0.98,0.907
"Yes",0.975,0.957
"No",0.903,0.984
"Yes",0.97,0.906
"No",0.916,0.902
"No",0.903,0.905
"No",0.91,0.972
"No",0.955,0.921
"No",0.957,0.944
"Yes",0.961,0.917
"No",0.957,0.952
"No",0.957,0.927
"No",0.951,0.966
"No",0.955,0.924
"No",0.926,0.967
"Yes",0.999,0.992
"Yes",0.999,0.994
"Yes",0.979,0.963
"Yes",0.975,0.999
"No",0.923,0.992
"Yes",0.993,0.928
"No",0.929,0.908
"No",0.92,0.958
"No",0.935,0.982
"No",0.938,0.924
"Yes",0.973,0.918
"Yes",0.963,0.986
"No",0.925,0.994
"Yes",0.988,0.936
"No",0.926,0.92
"Yes",0.993,0.918
"Yes",0.982,0.977
"Yes",0.999,0.941
"No",0.959,0.932
"No",0.914,0.969
"No",0.928,0.915
"Yes",0.971,0.914
"No",0.947,0.912
"Yes",0.999,0.984
"No",0.934,0.923
"No",0.937,0.901
"Yes",0.971,0.997
"Yes",1.001,0.929
"No",0.912,0.92
"No",0.921,0.957
"No",0.919,0.913
"Yes",0.995,0.996
"No",0.901,0.953
"Yes",0.988,0.915
"No",0.908,0.989
"No",0.948,0.998
"No",0.957,0.989
"No",0.95,0.961
"No",0.925,0.959
"No",0.904,0.974
"No",0.935,0.957
"No",0.925,0.929
"Yes",0.973,0.939
"No",0.936,0.907
"No",0.914,0.963
"No",0.914,0.978
"No",0.911,0.926
"No",0.96,0.979
"No",0.954,0.904
"No",0.954,0.917
"Yes",0.979,0.92
"Yes",0.963,0.95
"Yes",0.966,0.976
"No",0.955,0.93
"Yes",0.97,0.925
"No",0.933,0.985
"No",0.96,0.995
"Yes",1,0.994
"Yes",0.996,0.978
"No",0.907,0.991
"No",0.908,0.94
"No",0.909,0.931
"Yes",0.972,0.906
"No",0.927,0.918
"Yes",1,0.933
"No",0.931,0.995
"Yes",0.982,0.967
"Yes",1,0.999
"No",0.923,0.958
"No",0.942,0.941
"No",0.932,0.962
"No",0.918,0.985
"Yes",0.981,0.982
"No",0.907,0.959
"No",0.958,0.933
"Yes",0.965,0.964
"No",0.958,1
"No",0.923,0.987
"No",0.946,0.92
"No",0.945,0.905
"No",0.911,0.909
"No",0.906,0.903
"Yes",0.975,0.952
"No",0.901,0.931
"No",0.92,0.931
"No",0.95,0.946
"No",0.917,0.972
"No",0.904,0.936
"No",0.91,0.962
"Yes",0.992,0.948
"No",0.949,0.93
"Yes",0.985,0.946
"No",0.904,0.916
"Yes",0.987,0.953
"No",0.948,0.91
"No",0.958,0.935
"Yes",0.97,0.944
"No",0.946,0.911
"No",0.922,0.942
"Yes",0.964,0.906
"Yes",0.987,0.902
"No",0.95,0.991
